"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
0,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",1425.32666666667,437.82,0.02,1
1,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1416.57,446.593333333333,0.0366666666666667,1
1,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1006.64197530864,0.04,0.27
1,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,639.070234113712,0.0766666666666667,0.996666666666667
1,2,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",Inf,510.294314381271,0.216666666666667,0.996666666666667
0,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1155.63,196.913333333333,0.0633333333333333,1
0,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,626.333333333333,0.01,0.02
0,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,1232.90969899666,0,0.996666666666667
0,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",1348.16666666667,408.26,0.0666666666666667,1
1,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1386.06333333333,431.616666666667,0.0533333333333333,1
1,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1173.08333333333,0.97,0.08
1,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","average",Inf,1022.62798634812,0,0.976666666666667
1,10,1000,0.0118108035034134,FALSE,1e-04,"ARL",TRUE,"bounded","product",610.143333333333,319.026666666667,0.686666666666667,1
0,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"oracle","joint",193.086666666667,183.086666666667,0,1
0,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1480.6,0,0.383333333333333
0,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","average",332.22,322.22,0,1
0,2,10,0.0139495079396242,FALSE,1e-04,"ARL",TRUE,"bounded","product",240.926666666667,230.926666666667,0,1
